total_volume,short_volume,reg_sho_date,ticker,short_exempt_volume,short_volume_ratio,reg_sho_asof
157622.494556,58800.789483,2026-09-18,AAXJ,0.0,0.3730482102103092,2026-09-18
9560.27313,4731.0,2026-09-18,AAXJ,0.0,0.4948603387861577,2026-09-18
86196.785383,52182.458482,2026-09-18,AB,0.0,0.6053875240258274,2026-09-18
1753.87074,1101.0,2026-09-18,AB,0.0,0.627754357769832,2026-09-18
2655.3702,2435.0,2026-09-18,ABAT,0.0,0.9170096131981899,2026-09-18
1468272.876534,1035496.805109,2026-09-18,ABAT,0.0,0.705248201242667,2026-09-18
91203.69077,60518.76016,2026-09-18,ABAT,1200.0,0.6635560430620937,2026-09-18
184213.0,87617.0,2026-09-18,ABBNY,0.0,0.47562875584242154,2026-09-18
75994.0,53327.0,2026-09-18,ABBRF,0.0,0.7017264520883227,2026-09-18
4882.53398,3353.55028,2026-09-18,ABBV,0.0,0.6868462756709784,2026-09-18
1153503.758917,708034.173953,2026-09-18,ABBV,3532.0,0.6138117613225276,2026-09-18
58541.85624,35554.32202,2026-09-18,ABBV,0.0,0.6073316478766987,2026-09-18
484.0,70.0,2026-09-18,ABCB,0.0,0.1446280991735537,2026-09-18
133965.320638,85789.344664,2026-09-18,ABCB,0.0,0.6403847223701966,2026-09-18
4514.01206,3918.0,2026-09-18,ABCB,0.0,0.867964008053625,2026-09-18
24200.0,22200.0,2026-09-18,ABCFF,0.0,0.9173553719008265,2026-09-18
39302.4712,11582.0,2026-09-18,ABCL,0.0,0.2946888489800611,2026-09-18
1809683.80132,780311.988327,2026-09-18,ABCL,96444.0,0.4311869221340398,2026-09-18
93931.72936,32303.76284,2026-09-18,ABCL,0.0,0.3439068253091939,2026-09-18
6038.0,2538.0,2026-09-18,ABCP,0.0,0.4203378602186154,2026-09-18
1708.6537,1704.0,2026-09-18,ABCS,0.0,0.9972763936893707,2026-09-18
4611.82,4561.0,2026-09-18,ABEO,0.0,0.9889804892645421,2026-09-18
1127173.829168,794570.419525,2026-09-18,ABEO,8482.0,0.7049227004423051,2026-09-18
35416.0,33327.0,2026-09-18,ABEO,0.0,0.9410153602891349,2026-09-18
65553.0,48000.0,2026-09-18,ABEPF,0.0,0.7322319344652418,2026-09-18
1867.3151,1463.0,2026-09-18,ABEQ,0.0,0.7834778393855434,2026-09-18
12774.0,8443.0,2026-09-18,ABEV,0.0,0.6609519336151558,2026-09-18
12294796.969991,8166427.527383,2026-09-18,ABEV,1696.0,0.6642181686542301,2026-09-18
604192.55069,273487.05427,2026-09-18,ABEV,0.0,0.45264883513984466,2026-09-18
2822.821286,1733.989686,2026-09-18,ABFL,0.0,0.6142754040434142,2026-09-18
243.0,156.0,2026-09-18,ABG,0.0,0.6419753086419753,2026-09-18
101169.46145,75538.669786,2026-09-18,ABG,33.0,0.7466548571411813,2026-09-18
7963.0,6782.0,2026-09-18,ABG,0.0,0.85168906191134,2026-09-18
54520.8179,51497.0,2026-09-18,ABI,0.0,0.9445382880068642,2026-09-18
1.0,1.0,2026-09-18,ABLD,0.0,1.0,2026-09-18
2278.16762,1397.0,2026-09-18,ABLD,0.0,0.6132121217665274,2026-09-18
960.6024,956.0,2026-09-18,ABLS,0.0,0.9952088397863674,2026-09-18
280.01,200.0,2026-09-18,ABLV,0.0,0.7142602049926788,2026-09-18
3221.014493,981.897024,2026-09-18,ABLV,22.73913,0.30484092081357794,2026-09-18
201.0254,195.0,2026-09-18,ABM,0.0,0.9700266732462665,2026-09-18
